LOAN_DATE,LOAN_TYPE,CAR_YEAR,CAR_MAKE,CAR_MODEL,days in inv,PRICE,AMT FIN,DOWN PMT,PMT,ACV,TOT RECON,GROSS
 3/31/21,CD,2011,HYUNDAI,ELANTRA GLS; LIMITED,177,"2,500.00","2,765.00",0.00,"2,765.00","3,500.00",80.00,"-1,080.00"
 3/13/21,SL,2014,MAZDA,MAZDA3 I TOURING W/S,35,"12,995.00","13,476.95",800.00,230.00,"5,820.00","1,322.46","5,852.54"
 3/4/21,SL,2013,FORD,EXPLORER BASE,146,"15,995.00","15,745.00","1,500.00",230.00,"7,240.00","1,612.36","7,142.64"
 3/19/21,SL,2018,KIA,FORTE LX,173,"12,995.00","11,550.30","2,500.00",190.00,"4,600.00",941.73,"7,453.27"
 3/16/21,SL,2016,HONDA,CIVIC LX,162,"15,995.00","15,684.65","1,500.00",200.00,"8,660.00",945.43,"6,389.57"
 3/10/21,SL,2011,HYUNDAI,ELANTRA GLS; LIMITED,141,"11,995.00","11,991.70","1,000.00",200.00,"5,075.00","1,598.93","5,321.07"
 2/3/21,CD,2005,HONDA,ODYSSEY,505,500.00,625.00,0.00,625.00,"1,075.00",0.00,-575.00
 2/3/21,CD,2010,TOYOTA,COROLLA,594,"3,500.00","3,835.00",0.00,"3,835.00","3,375.00",0.00,125.00
 2/25/21,WH,2006,MAZDA,TRIBUTE,154,"1,765.00","1,765.00",0.00,"1,765.00","1,400.00",80.00,285.00
 1/28/21,SL,2008,HONDA,ACCORD,181,"7,495.00","8,158.80",100.00,400.00,"1,800.00","1,329.48","4,365.52"
 1/26/21,SL,2016,TOYOTA,CAMRY,212,"13,995.00","14,339.10","1,500.00",200.00,"5,000.00",545.58,"8,449.42"
 2/20/21,SL,2013,HONDA,ACCORD SPORT,159,"12,995.00","13,256.25",800.00,210.00,"5,600.00",855.69,"6,539.31"
 1/26/21,SL,2012,HONDA,ACCORD SE,184,"13,995.00","13,305.60","2,000.00",100.00,"8,800.00",698.85,"4,496.15"
 3/1/21,SL,2017,KIA,RIO LX,259,"12,995.00","13,055.55","1,000.00",200.00,"6,810.00",894.53,"5,290.47"
 3/13/21,SL,2011,FORD,EDGE,145,"11,995.00","12,493.45",500.00,125.00,"4,900.00","1,252.96","5,842.04"
 3/27/21,SL,2013,KIA,SOUL BASE; SPORT; +,146,"12,995.00","13,476.95",800.00,215.00,"4,860.00","1,026.87","7,108.13"
 3/18/21,SL,2011,TOYOTA,SIENNA BASE; LIMITED,134,"14,995.00","15,403.95","1,000.00",225.00,"6,810.00","1,605.13","6,579.87"
 3/22/21,SL,2013,HONDA,ACCORD SPORT,140,"15,495.00","13,848.35","2,800.00",110.00,"8,240.00","1,285.50","5,969.50"
 3/11/21,SL,2009,HONDA,ACCORD LX,141,"12,495.00","11,741.00","2,000.00",95.00,"3,960.00","2,177.64","6,357.36"
 3/15/21,SL,2016,HYUNDAI,ELANTRA LIMITED; SE;,142,"11,995.00","12,413.45",800.00,200.00,"5,010.00","1,026.46","5,958.54"
 3/10/21,SL,2017,NISSAN,ALTIMA 2.5; 2.5 S; 2,167,"14,995.00","14,982.20","1,200.00",100.00,"7,490.00",883.97,"6,621.03"
 3/6/21,SL,2016,NISSAN,ALTIMA 2.5; 2.5 S; 2,146,"11,995.00","12,212.75","1,000.00",125.00,"5,200.00","1,380.69","5,414.31"
 2/25/21,WH,2006,HYUNDAI,SONATA,154,"1,841.00","1,841.00",0.00,"1,841.00",500.00,802.89,538.11
 4/30/21,WH,2011,MAZDA,MAZDA3,153,"2,630.00","2,630.00",0.00,"2,630.00","1,000.00",0.00,"1,630.00"
 3/23/21,SL,2017,TOYOTA,COROLLA,141,"14,995.00","14,987.20","1,000.00",130.00,"6,925.00",475.12,"7,594.88"
 3/22/21,SL,2015,MITSUBISHI,OUTLANDER SPORT SE,132,"14,995.00","14,681.15","1,500.00",225.00,"7,440.00","1,400.93","6,154.07"
 3/11/21,SL,2017,KIA,FORTE LX,317,"14,995.00","14,621.15","1,500.00",205.00,"9,160.00",986.16,"4,848.84"
 5/15/21,SL,2011,TOYOTA,SIENNA,113,"13,495.00","13,055.55","1,000.00",110.00,"7,000.00",469.14,"6,025.86"
 3/15/21,SL,2014,HYUNDAI,ELANTRA GT BASE,147,"11,995.00","11,711.00","1,500.00",100.00,"6,300.00",669.85,"5,025.15"
 2/20/21,SL,2014,HONDA,ACCORD LX,162,"14,995.00","15,684.65",500.00,250.00,"7,100.00","1,117.15","6,777.85"
 3/15/21,SL,2009,TOYOTA,VENZA BASE,177,"13,495.00","13,085.55","1,500.00",200.00,"6,800.00",908.87,"5,786.13"
 3/23/21,SL,2013,HONDA,CR-V EX,167,"13,995.00","13,496.95",500.00,215.00,"6,500.00","1,376.10","6,118.90"
 5/7/21,SL,2011,HONDA,CIVIC LX-S,93,"11,995.00","11,188.90","1,800.00",330.00,"4,160.00","1,195.20","6,639.80"
 4/15/21,WH,2008,MAZDA,MAZDA6,111,"2,630.00","2,630.00",0.00,"2,630.00","1,000.00",0.00,"1,630.00"
 4/29/21,SL,2013,HONDA,CIVIC LX,103,"13,995.00","13,667.95",500.00,130.00,"7,840.00","1,403.66","4,751.34"
 1/8/21,SL,2017,CHEVROLET,CRUZE,223,"14,995.00","15,181.90","1,500.00",225.00,"7,900.00","1,027.94","6,067.06"
 2/16/21,SL,2013,HONDA,CIVIC LX,505,"11,995.00","12,433.45",500.00,400.00,"4,425.00",793.01,"6,776.99"
 3/26/21,SL,2013,HONDA,CR-V EX,253,"13,995.00","14,621.15",500.00,225.00,"6,840.00",520.63,"6,634.37"
 2/18/21,SL,2012,HONDA,FIT SPORT,254,"10,995.00","11,429.95",500.00,200.00,"4,500.00","1,039.14","5,455.86"
 1/4/21,SL,2016,MAZDA,MAZDA6 SPORT,209,"15,495.00","14,710.50","2,500.00",235.00,"7,445.00","2,816.58","5,233.42"
 1/29/21,SL,2011,HYUNDAI,ELANTRA GLS; LIMITED,211,"11,495.00","11,960.70","1,000.00",200.00,"4,400.00","1,682.04","5,412.96"
 1/23/21,SL,2014,TOYOTA,RAV4 XLE,254,"14,995.00","14,684.70",700.00,225.00,"8,960.00",120.00,"5,915.00"
 2/12/21,SL,2017,HYUNDAI,ACCENT SE,254,"12,995.00","13,396.60",600.00,200.00,"6,320.00",945.58,"5,729.42"
 1/11/21,SL,2012,HONDA,CIVIC LX,254,"12,995.00","12,974.20","1,800.00",200.00,"7,945.00",120.00,"4,930.00"
 1/7/21,SL,2015,HONDA,ACCORD EX,253,"14,995.00","15,905.40",800.00,125.00,"8,290.00",120.00,"6,585.00"
 1/29/21,SL,2012,FORD,EDGE LIMITED,289,"18,995.00","19,126.90","1,250.00",260.00,"10,130.00","1,119.97","7,745.03"
 3/3/21,SL,2014,TOYOTA,COROLLA,177,"14,995.00","14,400.45","2,000.00",120.00,"7,000.00",617.30,"7,377.70"
 6/15/21,SL,2012,HONDA,FIT BASE,83,"12,495.00","12,744.50","1,000.00",210.00,"5,350.00","1,165.04","5,979.96"
 4/26/21,SL,2016,KIA,FORTE LX,93,"13,495.00","14,089.05",500.00,200.00,"6,850.00",749.61,"5,895.39"
 6/26/21,SL,2013,TOYOTA,RAV4 XLE,99,"16,995.00","16,748.50","1,500.00",240.00,"10,600.00",830.00,"5,565.00"
 4/19/21,SL,2017,HYUNDAI,TUCSON SE,124,"18,995.00","17,430.95","3,000.00",260.00,"13,550.00",714.55,"4,730.45"
 5/28/21,SL,2013,HYUNDAI,ELANTRA GT BASE,124,"13,995.00","14,841.85",500.00,200.00,"6,410.00",782.36,"6,802.64"
 5/5/21,WH,2010,NISSAN,TITAN SE; LE; XE,111,"7,860.00","7,860.00",0.00,"7,860.00","6,910.00",120.00,830.00
 4/16/21,SL,2013,TOYOTA,COROLLA BASE; S; LE;,111,"13,495.00","13,025.55","1,500.00",90.00,"8,640.00",636.64,"4,218.36"
 1/6/21,SL,2009,TOYOTA,HIGHLANDER,601,"10,495.00","10,616.15","1,500.00",200.00,"4,950.00","2,122.60","3,422.40"
 1/30/21,SL,2012,TOYOTA,CAMRY,189,"10,995.00","11,650.65",500.00,100.00,"4,050.00",889.20,"6,055.80"
 1/14/21,WH,2012,HYUNDAI,ELANTRA GLS; LIMITED,251,"3,150.00","3,150.00",0.00,"3,150.00","3,900.00",0.00,-750.00
 3/2/21,SL,2015,TOYOTA,CAMRY SE; LE; XLE; X,253,"16,495.00","16,517.80","1,200.00",255.00,"9,500.00",761.97,"6,233.03"
 1/29/21,SL,2011,HONDA,ACCORD LX-P,253,"11,995.00","12,592.80",900.00,100.00,"6,700.00",636.21,"4,658.79"
 3/19/21,SL,2016,HONDA,HR-V EX-L,167,"18,995.00","17,651.65","3,000.00",250.00,"12,350.00",480.00,"6,165.00"
 3/18/21,SL,2014,TOYOTA,COROLLA CE; S; LE,131,"14,495.00","14,771.50","1,100.00",125.00,"8,400.00",805.45,"5,289.55"
 1/15/21,SL,2013,TOYOTA,COROLLA BASE; S; LE;,195,"11,995.00","12,213.50","1,000.00",200.00,"8,200.00",0.00,"3,795.00"
 2/28/21,SL,2011,TOYOTA,HIGHLANDER BASE,150,"14,995.00","14,254.75","2,000.00",125.00,"9,200.00",804.72,"4,990.28"
 1/9/21,SL,2016,TOYOTA,COROLLA  LE,253,"14,495.00","14,772.60","1,000.00",115.00,"8,500.00",507.90,"5,487.10"
 3/5/21,SL,2007,TOYOTA,TUNDRA SR5,165,"16,495.00","15,715.00","2,000.00",220.00,"8,200.00","1,415.74","6,879.26"
 1/15/21,SL,2013,HYUNDAI,ELANTRA GLS; LIMITED,247,"12,995.00","13,777.00","1,000.00",200.00,"7,040.00",947.92,"5,007.08"
 1/9/21,SL,2015,KIA,FORTE EX; LX,247,"11,995.00","13,215.25",500.00,215.00,"6,740.00",120.00,"5,135.00"
 2/9/21,CD,2006,CHEVROLET,COLORADO,201,"3,901.87","4,300.00",0.00,"4,300.00","4,000.00",129.05,-227.18
 3/6/21,SL,2012,HONDA,CR-V EX-L,146,"14,995.00","15,403.95","1,000.00",130.00,"7,840.00",768.50,"6,386.50"
 3/13/21,SL,2012,HONDA,PILOT EX,139,"12,995.00","13,276.25","1,000.00",125.00,"6,210.00",892.74,"5,892.26"
 6/2/21,CD,2016,RAM,PROMASTER 1500 LOW R,113,"8,352.00","9,308.12",0.00,"9,308.12","8,352.00",0.00,0.00
 3/2/21,SL,2012,TOYOTA,CAMRY SE; LE; XLE,160,"13,495.00","12,242.75","1,500.00",200.00,"6,842.00",660.99,"5,992.01"
 4/6/21,SL,2010,TOYOTA,RAV4 SPORT,140,"14,495.00","14,851.85",800.00,215.00,"7,040.00","1,655.81","5,799.19"
 4/14/21,SL,2014,HYUNDAI,ACCENT GLS,116,"12,495.00","14,894.42",200.00,210.00,"5,620.00",967.51,"5,907.49"
 4/2/21,SL,2019,TOYOTA,COROLLA CE; S; LE,323,"17,995.00","17,089.55","2,500.00",210.00,"13,510.00",807.99,"3,677.01"
 1/12/21,SL,2014,CHEVROLET,SUBURBAN LT,258,"20,995.00","19,466.95","2,000.00",520.00,"13,400.00",0.00,"7,595.00"
 3/9/21,WH,2013,FORD,EDGE,146,"3,120.00","3,120.00",0.00,"3,120.00","2,825.00",0.00,295.00
 3/6/21,SL,2014,KIA,SEDONA EX; LX,258,"13,495.00","13,848.65",100.00,200.00,"4,700.00","2,322.53","6,472.47"
 1/2/21,SL,2008,LEXUS,RX 350 BASE,258,"11,995.00","12,292.45","1,000.00",125.00,"7,400.00",0.00,"4,595.00"
 1/15/21,SL,2017,NISSAN,ARMADA SL; PLATINUM;,202,"29,995.00","31,078.90","1,000.00",300.00,"19,800.00",641.53,"9,553.47"
 3/2/21,SL,2014,HYUNDAI,ELANTRA GLS; LIMITED,189,"14,995.00","15,403.95","1,000.00",140.00,"8,590.00","1,177.55","5,227.45"
 3/19/21,SL,2014,HONDA,CR-V EX-L,132,"17,995.00","18,093.05","1,500.00",130.00,"9,730.00","2,312.00","5,953.00"
 2/5/21,SL,2016,HONDA,CIVIC LX,258,"16,500.00","16,783.80","1,000.00",270.00,"8,990.00",894.51,"6,615.49"
 1/14/21,SL,2016,MAZDA,MAZDA6 SPORT,212,"16,995.00","17,309.60","1,500.00",275.00,"9,190.00","1,219.00","6,586.00"
 4/22/21,SL,2013,HYUNDAI,ACCENT GLS,97,"9,495.00","10,055.05",500.00,190.00,"3,375.00",579.20,"5,540.80"
 1/27/21,WH,2010,HONDA,ODYSSEY,653,1.00,1.00,0.00,1.00,"3,175.00",0.00,"-3,174.00"
 3/16/21,SL,2013,HONDA,ACCORD SPORT,246,"15,495.00","15,152.90","1,500.00",225.00,"8,590.00","1,096.63","5,808.37"
 1/25/21,SL,2013,HYUNDAI,VELOSTER BASE,246,"10,495.00","10,837.55",750.00,115.00,"3,710.00","1,569.04","5,215.96"
 2/19/21,SL,2013,HONDA,CIVIC LX,246,"13,995.00","14,641.15",700.00,125.00,"5,960.00","1,503.34","6,531.66"
 4/3/21,SL,2014,HONDA,CIVIC LX,184,"13,995.00","15,998.75","1,200.00",250.00,"7,390.00",958.91,"5,646.09"
